B1-14-21-W6,2004-07-04 14:06,66.53,379.23,17.08
D10-125-22-W5,2004-07-04 14:06,47.22,209.84,49.46
D13-96-5-W5,2004-07-04 14:06,107.27,272.75,35.8
A10-53-24-W5,2004-07-04 14:06,36.68,177.85,39.99
D7-41-15-W5,2004-07-04 14:06,70.53,231.04,12.33
C12-10-7-W6,2004-07-04 14:06,41.79,468.15,46.31
C10-89-5-W5,2004-07-04 14:06,50.73,292.54,14.43
C8-37-15-W4,2004-07-04 14:06,91.39,315.06,49.42
B1-89-23-W5,2004-07-04 14:06,66.02,223.65,33.16
B4-84-13-W4,2004-07-04 14:06,49.99,228.35,47.52
A13-61-24-W6,2004-07-04 14:06,100.24,150.76,10.15
A7-49-19-W6,2004-07-04 14:06,70.05,228.56,32.63
A15-87-1-W4,2004-07-04 14:06,47.33,316.73,54.56
B7-48-6-W5,2004-07-04 14:06,81.96,77.75,22.2
B15-98-17-W5,2004-07-04 14:06,63.9,336.9,21.11
D7-108-21-W4,2004-07-04 14:06,27.13,17.64,37.91
D9-104-16-W6,2004-07-04 14:06,76.19,402.61,19.05
A14-116-1-W6,2004-07-04 14:06,28.12,163.39,49.43
D13-5-3-W4,2004-07-04 14:06,56.5,413.99,15.52
B9-78-6-W5,2004-07-04 14:06,68.83,44.26,10.96
B10-60-22-W6,2004-07-04 14:06,14.17,47.62,51.02
B8-114-18-W4,2004-07-04 14:06,94.49,137.87,39.81
A3-62-23-W4,2004-07-04 14:06,50.06,140.94,45.92
C14-36-7-W4,2004-07-04 14:06,50.36,65.55,59.05
D15-14-12-W5,2004-07-04 14:06,18.18,329.86,28.43
C11-32-3-W4,2004-07-04 14:06,35.75,129.99,57.81
A7-116-9-W4,2004-07-04 14:06,71.44,18.89,43.22
C12-24-12-W5,2004-07-04 14:06,30.04,208.12,57.02
A13-119-16-W6,2004-07-04 14:06,40.84,116.03,58.0
B5-122-2-W6,2004-07-04 14:06,35.78,311.19,43.05
D3-109-22-W6,2004-07-04 14:06,91.18,485.11,50.94
A9-82-14-W6,2004-07-04 14:06,13.37,187.53,44.63
C13-106-6-W5,2004-07-04 14:06,97.51,175.02,54.68
A14-37-12-W6,2004-07-04 14:06,48.42,242.09,48.14
C2-75-18-W6,2004-07-04 14:06,109.79,181.83,22.87
D13-50-1-W4,2004-07-04 14:06,87.53,250.34,24.07
B10-99-16-W6,2004-07-04 14:06,90.37,503.11,59.82
C1-73-22-W5,2004-07-04 14:06,107.71,344.38,22.5
D16-121-23-W5,2004-07-04 14:06,69.03,102.79,25.03
C12-93-11-W6,2004-07-04 14:06,98.33,188.22,43.24
A4-56-19-W6,2004-07-04 14:06,18.71,134.53,46.61
B10-53-5-W5,2004-07-04 14:06,48.6,50.64,25.56
D2-125-11-W4,2004-07-04 14:06,95.87,467.55,55.26
D3-15-19-W5,2004-07-04 14:06,57.91,441.77,44.06
A11-48-15-W4,2004-07-04 14:06,52.15,31.72,54.41
C5-110-15-W5,2004-07-04 14:06,44.56,439.28,48.87
B3-111-17-W4,2004-07-04 14:06,27.27,393.12,20.57
