B1-14-21-W6,3581.27,2987.51,10.0,1.65,21
D10-125-22-W5,1543.45,1235.03,3.57,4.16,12
D13-96-5-W5,3353.27,3128.86,7.47,1.62,13
A10-53-24-W5,1557.38,1409.81,24.9,1.78,24
D7-41-15-W5,1647.32,1436.48,11.19,2.52,4
C12-10-7-W6,3168.98,2792.48,5.11,4.96,5
C10-89-5-W5,2091.42,1740.05,5.09,4.22,9
C8-37-15-W4,1230.87,1120.9,13.25,4.01,9
B1-89-23-W5,4035.65,3156.23,15.01,2.86,12
B4-84-13-W4,3358.34,2671.39,11.88,2.24,19
A13-61-24-W6,2270.98,2143.61,8.06,2.21,16
A7-49-19-W6,1898.21,1707.86,21.84,4.86,8
A15-87-1-W4,2496.32,2207.33,8.38,3.6,22
B7-48-6-W5,1271.97,1022.78,18.84,1.41,7
B15-98-17-W5,1603.06,1330.49,23.96,4.03,22
D7-108-21-W4,1871.65,1441.11,20.7,2.73,24
D9-104-16-W6,2982.96,2736.8,20.3,2.98,22
A14-116-1-W6,1596.72,1391.15,19.61,1.8,13
D13-5-3-W4,4122.85,3861.39,23.18,2.32,11
B9-78-6-W5,1201.63,1009.27,5.06,3.5,16
B10-60-22-W6,3729.98,3392.63,13.38,3.28,6
B8-114-18-W4,1377.26,1229.02,20.81,2.09,15
A3-62-23-W4,1533.62,1160.33,21.21,1.84,14
C14-36-7-W4,1914.53,1637.71,16.08,1.85,3
D15-14-12-W5,3232.02,3043.14,8.5,4.9,8
C11-32-3-W4,3895.98,3091.45,22.96,3.7,7
A7-116-9-W4,3299.78,2526.06,21.03,3.79,24
C12-24-12-W5,2629.81,2243.99,14.48,2.07,8
A13-119-16-W6,2537.93,2234.21,5.92,4.36,19
B5-122-2-W6,1481.97,1166.31,5.81,1.37,7
D3-109-22-W6,3338.46,2773.57,19.55,3.99,15
A9-82-14-W6,3374.81,2675.49,21.18,3.82,11
C13-106-6-W5,2146.23,1719.8,19.36,2.07,9
A14-37-12-W6,3005.01,2760.26,4.87,2.72,9
C2-75-18-W6,3034.35,2553.11,23.41,2.82,10
D13-50-1-W4,2290.72,2094.92,20.96,3.22,12
B10-99-16-W6,1664.15,1455.36,17.37,2.39,24
C1-73-22-W5,4185.53,3728.51,19.89,3.74,7
D16-121-23-W5,1177.36,889.86,3.25,2.4,13
C12-93-11-W6,1797.9,1505.86,10.22,4.82,20
A4-56-19-W6,4267.56,3995.69,11.52,1.85,3
B10-53-5-W5,2726.22,2177.55,7.19,4.3,4
D2-125-11-W4,2297.68,2103.84,6.76,3.03,11
D3-15-19-W5,4164.1,3557.66,3.83,4.77,19
A11-48-15-W4,4373.63,3583.23,8.73,2.16,4
C5-110-15-W5,3646.34,3142.75,15.58,4.42,23
